simulation,strategy_return,buy_hold_return,sharpe_ratio,max_drawdown,outperformed
25,-0.7793704079910505,0.02612850387600507,-0.5831627871299403,-0.8290202562715181,False
26,2.697799917987319,2.1341819173693084,0.8146375554890647,-0.5378551271585716,True
27,-0.23242749287796816,1.8276295239508689,0.023211065864673256,-0.5456873173117884,False
28,-0.09507990844307357,1.5894656757686976,0.09019104854538539,-0.6488086468660413,False
29,0.7069594718920997,0.22700332888497043,0.41832510952544366,-0.44090268523488857,True
30,-0.006755114872809109,1.7783819374581529,0.14447542488169526,-0.5265600238342544,False
31,-0.20112386445393804,0.4553684600057126,0.061987670807626745,-0.5716288562128509,False
32,1.5597648022316042,0.42817874742673134,0.6139839281218289,-0.39739158642079847,True
33,1.9619215587109635,8.345488712420035,0.697166523220309,-0.44460236934081043,False
34,-0.08480349805633625,0.5819257183771953,0.10697475212699112,-0.45705180389873284,False
35,1.580606145438515,5.910846835898819,0.6320049943074237,-0.7004073741673327,False
36,1.1444895774833448,5.95126937457554,0.5392283732680031,-0.653957144951843,False
37,0.02243002127872451,-0.44650535385651147,0.15901736856767995,-0.5474649796454294,True
38,0.5980435349943631,0.18919781031417826,0.38658654269535175,-0.4982566471531987,True
39,-0.006495555270355613,-0.5181265435184015,0.16185328079346517,-0.8426679791739582,True
40,0.7582367886573778,-0.129473943710675,0.4330511726996129,-0.49770147557019306,True
41,-0.6349870271989908,-0.7646431401693363,-0.36714987301023794,-0.8010841054641384,True
42,2.572843859088072,0.8908863634383888,0.7782593126584347,-0.39047621656942594,True
43,5.926690175089826,1.2968531747282932,1.0846944732969868,-0.3464971520151958,True
44,1.7173024529367509,5.182640511913765,0.6603726752761908,-0.4764693292869233,False
45,0.2478150524499596,1.5093995176214619,0.2698688247225418,-0.6248302369669663,False
46,4.001030759832431,33.24763164572262,0.9542547428876269,-0.42680067719298986,False
47,-0.5963323921315646,-0.761177501408862,-0.30457475682002094,-0.764084527077296,True
48,-0.15257949157884954,0.5059696275748458,0.07138678887262043,-0.714296816713817,False
49,-0.5916440495070301,-0.25148171047591117,-0.2978874064164786,-0.7554518953214856,False
50,1.6324418747249978,4.818522504204076,0.6326511734601932,-0.4240453430819185,False
51,0.06702104396817266,2.4308716013695966,0.19282595305285724,-0.7132782820237531,False
52,10.245153248262023,0.7944146649909984,1.315317661877987,-0.39857557749730477,True
53,0.1563334630884552,-0.5973555003828135,0.23027628650508658,-0.49641042547451336,True
54,3.809689023350991,3.6161347657529523,0.9659550933770263,-0.32002713927997756,True
55,6.390104485723151,12.387327676869656,1.1420076458642692,-0.3783740642373472,False
56,4.71054908083456,2.3191662330479073,1.0340006357760116,-0.3792773939156114,True
57,10.718678355832147,24.459598698281667,1.3786052944975116,-0.30903518788666196,False
58,0.6327132537213864,0.24059641500583662,0.3960656949123956,-0.6401563268499658,True
59,-0.6462034487067796,0.667428519681694,-0.3491328773022717,-0.8839891770757469,False
60,-0.05752394355118284,0.5810811119738342,0.12980374236277212,-0.624963597107334,False
61,-0.10116912686515223,-0.6857004509069107,0.1077724532011074,-0.6163343361005417,True
62,-0.6579355525347828,-0.18096712333181664,-0.36609003095555304,-0.7378193128823196,False
63,-0.14565248045503798,-0.4171077595145284,0.08497805777310574,-0.5235944062538266,True
64,0.9294156441702013,2.539394894057342,0.4794321605245696,-0.4967030744797994,False
65,0.5545147517892608,0.06659909121176577,0.37204052915741725,-0.6754737416681994,True
66,0.46390488600861257,1.156601536936868,0.3448393256257739,-0.5396991268506243,False
67,1.4478785724448309,30.198537013066904,0.5913278566819326,-0.5313410532552653,False
68,0.22168582398516246,6.523516836411608,0.252146517253047,-0.5217393759914245,False
69,4.456580336413398,2.285168284186232,0.9861003033048329,-0.5710358378412026,True
70,-0.3073021159313092,1.912252406650612,-0.03971746606529736,-0.6616813275674592,False
71,-0.12962515418936804,2.2032459601337977,0.07697197728022417,-0.7308127345024887,False
72,-0.3215352512407146,-0.2958525654086491,-0.032678327889183977,-0.5632040307199354,False
73,6.716848928049369,34.53507603067458,1.1817160840103438,-0.365676228042094,False
74,0.7728603138924266,-0.09749699819679702,0.4373999957829276,-0.46391759662857834,True
75,-0.8287733592322569,-0.8912356211500155,-0.7220036968881811,-0.8493187748675936,True
76,2.4503837722426804,5.542537991572531,0.7547871661522733,-0.4560448726005003,False
77,0.235019151055621,1.666653261322403,0.2659556280393753,-0.6210567114373213,False
78,-0.5695076272524672,-0.8185917780265453,-0.27318959222098044,-0.6350593921824131,True
79,-0.783222281146785,-0.9575625753586121,-0.6140006689521712,-0.8063005108918783,True
80,0.2523005807573868,8.311341432260402,0.2704168679045272,-0.5918654855489778,False
81,2.9563295601871378,16.855416040158104,0.8333238793697785,-0.5057484422240532,False
82,0.568144783236624,1.2198842835889403,0.3766401074847633,-0.6127000881913157,False
83,-0.5257322645730064,-0.23000693946420692,-0.2197202624674924,-0.7935423499964811,False
84,8.33175679423836,13.385107120315451,1.2928168826327842,-0.3815691952438642,False
85,0.9234924571958429,0.36649523268880957,0.47613185135436975,-0.5086047472984424,True
86,7.122607528829494,6.959070759295773,1.1902346440773441,-0.3605120624810833,True
87,0.15434951724767543,-0.361213748198122,0.2217492754880814,-0.6086526765266561,True
88,-0.9485892829493302,-0.9751358007584656,-1.2544748299610409,-0.963322856231868,True
89,1.4748367989313937,1.9512123038357574,0.6007198987408447,-0.6112007244762725,False
90,1.0679704664546517,2.524913149351774,0.5138277599228975,-0.5257434366953073,False
91,-0.17859320270545787,-0.38636236733434615,0.043744016731173375,-0.5514707611773686,True
92,0.35980014404634364,-0.8710755209608825,0.30465510713035693,-0.5113908630737705,True
93,0.0901206300710451,-0.5274793702918512,0.19554878555137276,-0.5154245348580494,True
94,0.06372202618119216,0.6273754491138503,0.18671596781836625,-0.5192436864386106,False
95,-0.5311893425179937,-0.725308255422767,-0.23400558684302047,-0.764512767547543,True
96,-0.2083642609267652,-0.8396667112999732,0.037013754229557105,-0.5971031226942822,True
97,4.193332329819073,11.665529604253631,0.9601145606521321,-0.4481815311203084,False
98,0.8342651069302054,3.6484082944202108,0.45292631973137404,-0.4638419829763169,False
99,0.34775957445705186,-0.3683921866116703,0.29846187333980323,-0.5252498339449932,True
100,6.278714244977955,15.21031011158561,1.1390700796628066,-0.3946200078045991,False
101,-0.4825282013369151,-0.8560784023095867,-0.15036604649751736,-0.6822855417521511,True
102,1.5623411409129786,2.2855265584548796,0.6229081715627295,-0.49115312419888546,False
103,-0.2743485502005746,3.0391681284818377,0.012241159727578258,-0.8194395111046047,False
104,1.319199431023935,1.3894148509404265,0.5596394314578922,-0.5592537523930767,False
105,0.8010898276252232,0.29632116799272246,0.44665108563966743,-0.5094096881990767,True
106,-0.08415440643828409,3.210973701826828,0.10032328256476918,-0.5475973590274883,False
107,4.047796772170266,13.394855118075382,1.0008049966457084,-0.475459761940916,False
108,3.8660104856832174,8.258783142429014,0.9200069396943824,-0.5986455404512465,False
109,0.1386803635037097,-0.5732851129321817,0.22074647805438538,-0.5447658045100354,True
110,-0.3585953993106703,-0.8847311600773825,-0.05135927232877723,-0.7678143623930112,True
111,-0.37505036897317645,0.13080032028924826,-0.09372974068169755,-0.6756000988261267,False
112,-0.7352169602107483,-0.7383033899551295,-0.47339804165560984,-0.8674840566883391,True
113,1.0837257862284706,0.7973864046674559,0.5212405782645043,-0.48053085613276414,True
114,0.2933591572865464,2.514998806325492,0.2756700341849199,-0.8002167371638099,False
115,7.208342452552312,1.9724264495246673,1.2239456958963415,-0.35724391515738685,True
116,1.1260843531583355,1.3859196973536,0.5270233715240785,-0.4580946024506358,False
117,-0.8594801740760746,-0.41126338373856475,-0.8214096574855877,-0.8549294051893644,False
118,1.4276805288163361,1.9821434996551348,0.6054234720887705,-0.4876711256162406,False
119,-0.4807583917440905,-0.6897979646648329,-0.1794784007019226,-0.615137716536866,True
120,1.6416751302522394,3.375858604735593,0.6265941106252566,-0.5123935235385215,False
